ticker,name,sector,industry,date,close,score,score_max,chg20,volume,rsi,conditions
CGAU,Centerra Gold Inc.,Basic Materials,Precious Metals,2026-08-26,23.71,8,8,39.6,36721726,69.3,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
KGC,金罗斯黄金,Basic Materials,Precious Metals,2026-08-26,32.32,8,8,39.4,250703642,70.8,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
TXG,"10X Genomics, Inc.",Industrials,Biotechnology: Laboratory Analytical Instruments,2026-08-26,64.26,8,8,38.7,187804893,69.6,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
RGLD,皇家黄金,Industrials,Precious Metals,2026-08-26,266.14,8,8,36.1,175156534,82.0,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
SBET,"Sharplink, Inc.",Technology,Computer Software: Prepackaged Software,2026-08-26,8.32,8,8,35.5,60451373,86.7,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
SA,"Seabridge Gold, Inc.",Basic Materials,Precious Metals,2026-08-26,34.19,8,8,35.4,27185612,60.4,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
SKE,Skeena Resources Limited,Basic Materials,Precious Metals,2026-08-26,34.72,8,8,35.2,19185265,67.4,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
APPN,Appian Corporation,Technology,Computer Software: Prepackaged Software,2026-08-26,38.45,8,8,33.8,29144809,65.4,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
SII,Sprott Inc.,Finance,Finance: Consumer Services,2026-08-26,136.87,8,8,32.1,28173649,79.0,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
FCX,麦克莫兰铜金,Basic Materials,Metal Mining,2026-08-26,79.0,8,8,31.7,992557485,77.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
OR,Or Royalties Inc.,Basic Materials,Precious Metals,2026-08-26,38.43,8,8,30.3,39334492,80.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
B,巴里克矿业,Basic Materials,Precious Metals,2026-08-26,47.0,8,8,29.3,517398478,64.6,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
RAPP,"Rapport Therapeutics, Inc.",Health Care,Biotechnology: Pharmaceutical Preparations,2026-08-26,52.5,8,8,28.2,12921702,83.1,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
RGEN,Repligen Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2026-08-26,180.3,8,8,27.7,169790423,76.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
QURE,Uniqure N.V.,Health Care,Biotechnology: Pharmaceutical Preparations,2026-08-26,50.95,8,8,27.2,54214299,73.9,"多头排列,站上年线,MA20上行,低点抬高,高点抬高,斜率向上,近60日新高,放量"
